State,County,Year,TotalPpt,AverageTmp
New Mexico,Dona Ana,1997,287.1587069,16.33457615
New Mexico,Dona Ana,1998,219.3755015,16.5763519
New Mexico,Dona Ana,1999,260.4985047,16.70578387
New Mexico,Dona Ana,2000,259.133698,17.21794016
New Mexico,Dona Ana,2001,135.0268317,16.81796773
New Mexico,Dona Ana,2002,233.9602647,16.90557249
New Mexico,Dona Ana,2003,149.1508947,17.44118282
New Mexico,Dona Ana,2004,362.1222614,16.31751364
New Mexico,Dona Ana,2005,244.6915939,17.05550635
New Mexico,Dona Ana,2006,392.0337544,16.95562763
New Mexico,Dona Ana,2007,276.7701139,16.73357618
New Mexico,Dona Ana,2008,321.4083738,16.22026178
New Mexico,Dona Ana,2009,251.3534364,16.53473425
New Mexico,Dona Ana,2010,273.8648263,16.19999707
New Mexico,Dona Ana,2011,174.7002049,16.54578022
New Mexico,Dona Ana,2012,132.5091258,17.12996034
New Mexico,Dona Ana,2013,263.4984102,16.02504671
New Mexico,Dona Ana,2014,282.1941584,16.80022872
New Mexico,Dona Ana,2015,362.8550209,16.72687214
New Mexico,Dona Ana,2016,261.1974423,17.03387948
New Mexico,Dona Ana,2017,322.1114252,17.54146222
New Mexico,Dona Ana,2018,294.9379133,17.24761663
New Mexico,Dona Ana,2019,267.2318746,16.61832616
New Mexico,Eddy,1981,447.6283362,16.35844488
New Mexico,Eddy,1982,335.5276687,16.00458841
New Mexico,Eddy,1983,300.1241402,15.87147154
New Mexico,Eddy,1984,485.1582319,15.61940476
New Mexico,Eddy,1985,366.008767,16.03230962
New Mexico,Eddy,1986,576.978748,16.28455171
New Mexico,Eddy,1987,383.5204854,15.43273694
New Mexico,Eddy,1988,357.0081435,15.92135302
New Mexico,Eddy,1989,230.0003303,16.60866857
New Mexico,Eddy,1990,319.8290618,16.6349023
New Mexico,Eddy,1991,538.5194456,16.0772245
New Mexico,Eddy,1992,364.6409972,16.09073701
New Mexico,Eddy,1993,225.5457868,16.44365687
New Mexico,Eddy,1994,222.1545317,17.27070868
New Mexico,Eddy,1995,251.3248115,16.95570365
New Mexico,Eddy,1996,329.6783644,16.94489895
New Mexico,Eddy,1997,424.7701533,15.89420606
New Mexico,Eddy,1998,198.8630044,17.38238315
New Mexico,Eddy,1999,306.0365719,17.29320285
New Mexico,Eddy,2000,280.8892224,17.33764855
New Mexico,Eddy,2001,212.3442137,17.18414605
New Mexico,Eddy,2002,299.2384518,16.8274833
New Mexico,Eddy,2003,178.4341404,17.30762855
New Mexico,Eddy,2004,597.4139141,16.12145153
New Mexico,Eddy,2005,323.832189,16.72417606
New Mexico,Eddy,2006,387.2644697,17.37014272
New Mexico,Eddy,2007,478.03928990000003,16.30880881
New Mexico,Eddy,2008,307.4291129,16.40674035
New Mexico,Eddy,2009,314.5898277,16.67484385
New Mexico,Eddy,2010,463.3628937,16.45199749
New Mexico,Eddy,2011,160.379884,17.40286893
New Mexico,Eddy,2012,245.7057908,17.71863857
New Mexico,Eddy,2013,351.3686341,16.4396318
New Mexico,Eddy,2014,509.6030961,16.60764021
New Mexico,Eddy,2015,519.1803094,16.55639811
New Mexico,Eddy,2016,406.1984532,17.20054502
New Mexico,Eddy,2017,361.6463156,17.75440487
New Mexico,Eddy,2018,372.549815,17.01892905
New Mexico,Eddy,2019,311.1188975,17.09848662
New Mexico,Grant,1981,399.1175759,13.77367147
New Mexico,Grant,1982,442.7463519,12.91510914
New Mexico,Grant,1983,556.8766588,12.89044722
New Mexico,Grant,1984,504.3074442,13.06371061
New Mexico,Grant,1985,539.7341261,13.11612876
New Mexico,Grant,1986,601.5836232,13.38094726
New Mexico,Grant,1987,410.679352,12.41931732
New Mexico,Grant,1988,537.9319968,12.88913229
New Mexico,Grant,1989,287.9751081,13.73381738
New Mexico,Grant,1990,474.5731738,12.81139564
New Mexico,Grant,1991,545.2537776,12.27276216
New Mexico,Grant,1992,510.080576,12.60630665
New Mexico,Grant,1993,461.599392,13.25278712
New Mexico,Grant,1994,452.8959053,13.82431914
New Mexico,Grant,1995,299.2385467,13.58511985
New Mexico,Grant,1996,438.1096535,13.89499177
New Mexico,Grant,1997,472.4089847,13.35004334
New Mexico,Grant,1998,423.7414735,13.1000113
New Mexico,Grant,1999,354.3964301,13.4806786
New Mexico,Grant,2000,402.8654215,14.00369641
New Mexico,Grant,2001,364.4397346,13.56911094
New Mexico,Grant,2002,340.5841103,13.81362164
New Mexico,Grant,2003,254.5605618,14.37374091
New Mexico,Grant,2004,496.0921218,13.19637962
New Mexico,Grant,2005,378.1455509,14.12452025
New Mexico,Grant,2006,492.9678506,13.85600599
New Mexico,Grant,2007,439.0766469,13.84998108
New Mexico,Grant,2008,438.8253875,13.16871237
New Mexico,Grant,2009,307.6250732,13.6847213
New Mexico,Grant,2010,469.4574513,13.12821593
New Mexico,Grant,2011,328.5687807,13.37104867
New Mexico,Grant,2012,213.6559902,14.16000068
New Mexico,Grant,2013,399.2736566,13.17253799
New Mexico,Grant,2014,381.7270394,14.03369641
New Mexico,Grant,2015,462.5918777,13.76392768
New Mexico,Grant,2016,434.8620433,13.9508672
New Mexico,Grant,2017,363.1486988,14.65841706
New Mexico,Grant,2018,427.4782354,14.31337616
New Mexico,Grant,2019,449.463046,13.48624619
New Mexico,Guadalupe,1981,319.3146596,13.9231133
New Mexico,Guadalupe,1982,345.6552754,12.87640828
New Mexico,Guadalupe,1983,267.1324591,12.66662676
New Mexico,Guadalupe,1984,434.0113273,12.70918081
New Mexico,Guadalupe,1985,473.657547,12.92974836
New Mexico,Guadalupe,1986,499.6024253,13.28371909
New Mexico,Guadalupe,1987,391.3775237,12.39820104
New Mexico,Guadalupe,1988,376.3569733,12.75562449
New Mexico,Guadalupe,1989,242.0845742,13.41020333
New Mexico,Guadalupe,1990,357.2000399,13.15991953
New Mexico,Guadalupe,1991,483.1802284,12.76837448
New Mexico,Guadalupe,1992,306.9857328,12.95319207
New Mexico,Guadalupe,1993,306.6158636,13.08268754
New Mexico,Guadalupe,1994,339.2814438,13.76427991
New Mexico,Guadalupe,1995,253.2290506,13.66190606
New Mexico,Guadalupe,1996,329.057689,13.50289254
New Mexico,Guadalupe,1997,589.9014994,12.12620778
New Mexico,Guadalupe,1998,351.9867274,13.30701188
New Mexico,Guadalupe,1999,447.6918424,13.21795333
