State,County,Use,Year,Volume,Count
Texas,Reagan,Hydraulic fracturing,2016,2068.2607700765,132
Texas,Reagan,Hydraulic fracturing,2017,4159.1065425,228
Texas,Reagan,Hydraulic fracturing,2018,5144.3912158,293
Texas,Reagan,Hydraulic fracturing,2019,5093.5483725,231
Texas,Reagan,Hydraulic fracturing,2020,2104.4293805,92
Texas,Reagan,Hydraulic fracturing,2021,2708.1565068333334,130
Texas,Reeves,Hydraulic fracturing,2011,3.782766,3
Texas,Reeves,Hydraulic fracturing,2012,176.4728282527277,110
Texas,Reeves,Hydraulic fracturing,2013,661.3468753333333,327
Texas,Reeves,Hydraulic fracturing,2014,1996.4113775566666,329
Texas,Reeves,Hydraulic fracturing,2015,2245.8769382,277
Texas,Reeves,Hydraulic fracturing,2016,2711.2432611566664,236
Texas,Reeves,Hydraulic fracturing,2017,7879.83516398,494
Texas,Reeves,Hydraulic fracturing,2018,12543.051772776667,767
Texas,Reeves,Hydraulic fracturing,2019,12969.854846075033,740
Texas,Reeves,Hydraulic fracturing,2020,4814.574987506667,260
Texas,Reeves,Hydraulic fracturing,2021,4305.595074002959,232
Texas,Schleicher,Hydraulic fracturing,2012,7.6723040000000005,6
Texas,Schleicher,Hydraulic fracturing,2013,68.821547,19
Texas,Schleicher,Hydraulic fracturing,2014,36.29625,12
Texas,Schleicher,Hydraulic fracturing,2015,24.987829,4
Texas,Schleicher,Hydraulic fracturing,2016,0.285156,6
Texas,Schleicher,Hydraulic fracturing,2017,0.14232999999999998,3
Texas,Schleicher,Hydraulic fracturing,2021,0.060005,1
Texas,Scurry,Hydraulic fracturing,2012,1.010713578707799,10
Texas,Scurry,Hydraulic fracturing,2013,18.638505,52
Texas,Scurry,Hydraulic fracturing,2014,20.818868371,40
Texas,Scurry,Hydraulic fracturing,2015,6.685439,11
Texas,Scurry,Hydraulic fracturing,2016,18.671718000000002,5
Texas,Scurry,Hydraulic fracturing,2017,35.24042,11
Texas,Scurry,Hydraulic fracturing,2018,78.9050355,27
Texas,Scurry,Hydraulic fracturing,2019,61.2600525,17
Texas,Scurry,Hydraulic fracturing,2020,125.1682685,11
Texas,Scurry,Hydraulic fracturing,2021,99.880231,10
Texas,Sterling,Hydraulic fracturing,2012,81.630835,19
Texas,Sterling,Hydraulic fracturing,2013,118.6358645,36
Texas,Sterling,Hydraulic fracturing,2014,100.41058070666666,43
Texas,Sterling,Hydraulic fracturing,2015,2.828041,6
Texas,Sterling,Hydraulic fracturing,2016,2.088186,4
Texas,Sterling,Hydraulic fracturing,2017,2.243608,5
Texas,Sterling,Hydraulic fracturing,2018,2.487542,5
Texas,Sterling,Hydraulic fracturing,2019,0.785773,1
Texas,Sterling,Hydraulic fracturing,2020,0.035176,1
Texas,Stonewall,Hydraulic fracturing,2012,0.672587,9
Texas,Stonewall,Hydraulic fracturing,2013,1.4269945,33
Texas,Stonewall,Hydraulic fracturing,2014,4.6266835,24
Texas,Stonewall,Hydraulic fracturing,2015,0.540767,11
Texas,Stonewall,Hydraulic fracturing,2016,0.629884,13
Texas,Stonewall,Hydraulic fracturing,2017,0.366741,3
Texas,Stonewall,Hydraulic fracturing,2018,0.4354525,10
Texas,Stonewall,Hydraulic fracturing,2019,0.095198,1
Texas,Stonewall,Hydraulic fracturing,2021,0.040864,2
Texas,Sutton,Hydraulic fracturing,2012,0.097734,1
Texas,Sutton,Hydraulic fracturing,2013,5.338116,14
Texas,Sutton,Hydraulic fracturing,2018,1.145424,2
Texas,Sutton,Hydraulic fracturing,2019,0.029037,1
Texas,Terrell,Hydraulic fracturing,2014,6.00246,6
Texas,Terrell,Hydraulic fracturing,2015,4.053357,6
Texas,Terrell,Hydraulic fracturing,2016,0.399394,1
Texas,Terrell,Hydraulic fracturing,2018,6.700125,2
Texas,Terry,Hydraulic fracturing,2012,4.665267,4
Texas,Terry,Hydraulic fracturing,2013,3.663826,9
Texas,Terry,Hydraulic fracturing,2014,2.05766,5
Texas,Terry,Hydraulic fracturing,2015,1.410556,5
