State,County,Year,Precipitation_mm,Temperature_C
New Mexico,San Miguel,1991,587.1619741,10.97857029
New Mexico,Bernalillo,1992,376.5331148,10.98296312
New Mexico,Union,1992,389.2748605,10.98316191
New Mexico,Torrance,2010,387.99239,10.98784036
New Mexico,Santa Fe,2018,350.6149166,10.99212241
New Mexico,San Juan,1999,230.1128658,10.99297326
New Mexico,Torrance,2009,314.7266529,10.99567403
New Mexico,Union,1990,437.6592084,11.0061637
New Mexico,Union,1989,385.5725217,11.00663561
New Mexico,Union,2007,383.1130725,11.02332684
New Mexico,San Miguel,1982,449.8805502,11.065611
New Mexico,Union,2013,386.6098866,11.10689176
New Mexico,Los Alamos,2018,372.476387,11.12318799
New Mexico,Union,2004,582.7738506,11.12592509
New Mexico,San Juan,1995,228.0113562,11.14106248
New Mexico,Torrance,2014,398.5993427,11.15052824
New Mexico,Santa Fe,2012,215.9554049,11.17734461
New Mexico,Los Alamos,2012,272.8497601,11.17762545
New Mexico,Union,2008,376.2548434,11.18174965
New Mexico,San Juan,2006,245.615314,11.18346151
New Mexico,Union,2019,394.5769591,11.19107948
New Mexico,San Miguel,1985,548.3592197,11.2029235
New Mexico,Torrance,2000,361.10937,11.20943377
New Mexico,San Miguel,1992,367.6332344,11.21396129
New Mexico,San Juan,1989,137.1862692,11.21897699
New Mexico,Torrance,2015,553.2008296,11.23749748
New Mexico,San Miguel,1993,406.7893718,11.24603543
New Mexico,Bernalillo,1991,438.0287325,11.24809145
New Mexico,Sandoval,2018,299.7061509,11.24863333
New Mexico,Union,2005,440.2604159,11.24902334
New Mexico,San Juan,2002,187.7718464,11.25495098
New Mexico,Union,1995,363.2111298,11.26128474
New Mexico,San Juan,1994,245.7962643,11.26145282
New Mexico,Sandoval,2012,205.8559085,11.2773107
New Mexico,Torrance,1989,245.8515518,11.29223666
New Mexico,Lincoln,1987,392.8776411,11.30642377
New Mexico,Torrance,1996,418.1094812,11.31304364
New Mexico,Union,1996,412.7798543,11.31364087
New Mexico,Torrance,1995,269.8328448,11.31560628
New Mexico,Bernalillo,1988,428.3754798,11.32314495
New Mexico,San Miguel,1990,489.5980697,11.33018076
New Mexico,Union,2002,342.5283899,11.34498124
New Mexico,San Juan,1981,235.213632,11.34615543
New Mexico,Torrance,2005,391.9860553,11.35615251
New Mexico,San Juan,2007,258.7280329,11.36348753
New Mexico,San Miguel,2004,583.7767537,11.37973602
New Mexico,Union,2009,372.8051476,11.38034266
New Mexico,Santa Fe,2017,372.2748137,11.39459909
New Mexico,Torrance,2006,477.6717028,11.40480341
New Mexico,Torrance,1994,442.517169,11.43251595
New Mexico,Torrance,2016,378.2928191,11.44014633
New Mexico,Los Alamos,2017,414.6936455,11.44743794
New Mexico,Union,2014,331.0967934,11.46534439
New Mexico,Bernalillo,1990,414.7170533,11.46736955
New Mexico,Harding,1997,529.2443941,11.48154713
New Mexico,Torrance,1981,355.7091526,11.48315047
New Mexico,San Juan,2005,279.6181753,11.49813066
New Mexico,San Miguel,2013,457.4257001,11.50122003
New Mexico,San Juan,1996,201.3451053,11.50761517
New Mexico,Bernalillo,1984,374.8939057,11.51083475
New Mexico,Socorro,1987,304.0415666,11.51262284
New Mexico,Union,1999,504.2014942,11.53109878
New Mexico,Bernalillo,1985,419.7783415,11.54909149
New Mexico,Harding,1987,420.8684544,11.55597882
New Mexico,San Miguel,1989,345.2243449,11.56802818
New Mexico,San Juan,2001,216.7413506,11.56808854
New Mexico,Harding,1983,283.8939548,11.57784216
New Mexico,San Juan,2015,359.544934,11.59641568
New Mexico,Union,2010,469.2821388,11.5986251
New Mexico,Bernalillo,1982,334.682326,11.60357807
New Mexico,San Miguel,1986,577.2141874,11.60812992
New Mexico,Bernalillo,1997,468.0919057,11.61007006
New Mexico,Bernalillo,1993,321.4920312,11.6209043
New Mexico,Torrance,2003,268.9549351,11.62328598
New Mexico,San Miguel,2008,453.650008,11.62627381
New Mexico,Harding,1984,439.6765522,11.63338252
New Mexico,Union,2001,360.862405,11.63985843
New Mexico,Bernalillo,1983,334.4011221,11.65213958
New Mexico,Union,2006,506.5312641,11.65665145
New Mexico,Torrance,2018,392.8392751,11.6634564
New Mexico,Sandoval,2017,321.5706336,11.67562622
New Mexico,San Juan,2016,259.6615661,11.67581843
New Mexico,Union,1998,433.5696415,11.67860757
New Mexico,San Juan,2000,224.2287865,11.68266352
New Mexico,Union,2018,416.1194007,11.69399708
New Mexico,Lincoln,1983,333.7178914,11.71285851
New Mexico,Socorro,1992,381.5626747,11.72503461
New Mexico,Lincoln,1984,476.000467,11.73140083
New Mexico,Bernalillo,1986,487.8771418,11.74411282
New Mexico,Harding,1988,439.4965545,11.75561239
New Mexico,San Juan,2014,188.3548752,11.76384815
New Mexico,Union,2011,294.6407756,11.76745496
