State,County,Year,Population
Texas,Henderson,1982,46057
Texas,Hidalgo,1982,313256
Texas,Hill,1982,25748
Texas,Hockley,1982,24679
Texas,Hood,1982,19418
Texas,Hopkins,1982,26366
Texas,Houston,1982,22509
Texas,Howard,1982,36541
Texas,Hudspeth,1982,3057
Texas,Hunt,1982,58758
Texas,Hutchinson,1982,29899
Texas,Irion,1982,1549
Texas,Jack,1982,7953
Texas,Jackson,1982,13905
Texas,Jasper,1982,31449
Texas,Jeff Davis,1982,1650
Texas,Jefferson,1982,256258
Texas,Jim Hogg,1982,5467
Texas,Jim Wells,1982,38677
Texas,Johnson,1982,73412
Texas,Jones,1982,17693
Texas,Karnes,1982,13777
Texas,Kaufman,1982,41570
Texas,Kendall,1982,11390
Texas,Kenedy,1982,514
Texas,Kent,1982,1177
Texas,Kerr,1982,30292
Texas,Kimble,1982,4171
Texas,King,1982,420
Texas,Kinney,1982,2408
Texas,Kleberg,1982,34743
Texas,Knox,1982,5617
Texas,Lamar,1982,42676
Texas,Lamb,1982,18661
Texas,Lampasas,1982,12499
Texas,La Salle,1982,5926
Texas,Lavaca,1982,19578
Texas,Lee,1982,14048
Texas,Leon,1982,10719
Texas,Liberty,1982,51576
Texas,Limestone,1982,20688
Texas,Lipscomb,1982,4465
Texas,Live Oak,1982,9932
Texas,Llano,1982,10567
Texas,Loving,1982,84
Texas,Lubbock,1982,215688
Texas,Lynn,1982,8245
Texas,McCulloch,1982,8890
Texas,McLennan,1982,175640
Texas,McMullen,1982,828
Texas,Madison,1982,11547
Texas,Marion,1982,10825
Texas,Martin,1982,5306
Texas,Mason,1982,3657
Texas,Matagorda,1982,37325
Texas,Maverick,1982,34029
Texas,Medina,1982,23569
Texas,Menard,1982,2313
Texas,Midland,1982,98653
Texas,Milam,1982,23255
Texas,Mills,1982,4554
Texas,Mitchell,1982,9605
Texas,Montague,1982,18529
Texas,Montgomery,1982,150025
Texas,Moore,1982,17756
Texas,Morris,1982,15464
Texas,Motley,1982,1871
Texas,Nacogdoches,1982,48978
Texas,Navarro,1982,37097
Texas,Newton,1982,13405
Texas,Nolan,1982,18163
Texas,Nueces,1982,282413
