State,County,Year,Volume,Count
Texas,Midland,2014,17033898,9
Texas,Midland,2015,6786095,9
Texas,Midland,2016,139384237,9
Texas,Midland,2016,137826318,9
Texas,Midland,2016,103747266,9
Texas,Midland,2016,152868534,9
Texas,Midland,2016,79730910,9
Texas,Midland,2017,95037096,9
Texas,Midland,2017,73239180,9
Texas,Midland,2017,16423092,9
Texas,Midland,2018,136170174,9
Texas,Midland,2018,156576252,9
Texas,Midland,2018,236475498,9
Texas,Midland,2019,232957368,9
Texas,Midland,2019,216914628,9
Texas,Mitchell,2007,256500,9
Texas,Mitchell,2008,1192609,9
Texas,Mitchell,2009,138663,9
Texas,Mitchell,2009,109938,9
Texas,Mitchell,2010,265674,9
Texas,Mitchell,2010,296794,9
Texas,Mitchell,2011,342447,9
Texas,Mitchell,2013,354503,9
Texas,Pecos,2007,1098640,9
Texas,Pecos,2008,1942269,9
Texas,Pecos,2008,1919320.2,9
Texas,Pecos,2010,2966292,9
Texas,Pecos,2010,1609776,9
Texas,Reagan,2016,174838272,9
Texas,Reagan,2017,145710432,9
Texas,Reagan,2017,204733326,9
Texas,Reagan,2019,233691234,9
Texas,Reeves,2019,75159378,9
Texas,Stonewall,2010,85252.2,9
Texas,Sutton,2005,708966,9
Texas,Upton,2015,108204852,9
Texas,Ward,2009,292265,9
Texas,Ward,2010,97642,9
Texas,Ward,2010,160428,9
Texas,Ward,2012,121233,9
Texas,Ward,2013,87666,9
Texas,Winkler,2006,644975,9
Texas,Winkler,2018,2090592,9
Texas,Yoakum,2014,554557,9
Texas,Yoakum,2015,588858,9
Texas,Andrews,2002,717650,8
Texas,Andrews,2004,810655,8
Texas,Andrews,2005,842431,8
Texas,Andrews,2006,804114,8
Texas,Andrews,2007,654738,8
Texas,Andrews,2007,601724,8
Texas,Andrews,2007,786492,8
Texas,Andrews,2008,670362,8
Texas,Andrews,2008,589512,8
Texas,Andrews,2008,916706,8
Texas,Andrews,2009,628236,8
Texas,Andrews,2009,751296,8
Texas,Andrews,2010,12089914.2,8
Texas,Andrews,2010,692034,8
Texas,Andrews,2010,613200,8
