"Use","YearMonth","Mean.estimate","Mean.conf.low","Mean.conf.high","P50.estimate","P5.estimate","P95.estimate","Units"
"Cementing","201607",0.014277,0.013446,0.015108,0.014248,0.009581,0.016553,
"Cementing","201608",0.012568,0.011506,0.013631,0.013962,0.006283,0.017147,
"Cementing","201609",0.013825,0.013056,0.014593,0.013809,0.007305,0.016058,
"Cementing","201610",0.012327,0.011377,0.013277,0.013874,0.006533,0.015932,
"Cementing","201611",0.013414,0.012541,0.014287,0.014138,0.006779,0.017023,
"Cementing","201612",0.014032,0.012991,0.015073,0.01305,0.007857,0.02103,
"Cementing","201701",0.013343,0.012463,0.014223,0.013714,0.008813,0.019026,
"Cementing","201702",0.015743,0.014972,0.016514,0.01441,0.007021,0.018238,
"Cementing","201703",0.012505,0.011662,0.013349,0.013657,0.007608,0.015367,
"Cementing","201704",0.013003,0.012272,0.013734,0.01337,0.008398,0.016471,
"Cementing","201705",0.012735,0.01191,0.013561,0.014064,0.007098,0.01769,
"Cementing","201706",0.011781,0.010887,0.012674,0.013617,0.00758,0.017499,
"Cementing","201707",0.011655,0.010895,0.012415,0.012983,0.007825,0.017509,
"Cementing","201708",0.014777,0.014099,0.015455,0.013712,0.008906,0.01769,
"Cementing","201709",0.011908,0.011133,0.012682,0.013737,0.006973,0.016395,
"Cementing","201710",0.013423,0.012837,0.014008,0.013854,0.009327,0.015966,
"Cementing","201711",0.014668,0.014092,0.015244,0.014497,0.009952,0.01775,
"Cementing","201712",0.01378,0.013087,0.014473,0.014033,0.00649,0.017336,
"Cementing","201801",0.01357,0.012776,0.014364,0.013984,0.007453,0.018022,
"Cementing","201802",0.014812,0.01418,0.015445,0.013988,0.008506,0.018501,
"Cementing","201803",0.014465,0.013871,0.015059,0.014139,0.008219,0.016793,
"Cementing","201804",0.013748,0.013114,0.014381,0.013788,0.008772,0.016803,
"Cementing","201805",0.014026,0.013367,0.014686,0.0142,0.008885,0.019317,
"Cementing","201806",0.014125,0.013485,0.014766,0.014165,0.008672,0.018624,
"Cementing","201807",0.014922,0.014428,0.015416,0.014508,0.012133,0.017955,
"Cementing","201808",0.014854,0.014274,0.015434,0.014976,0.008568,0.0181,
"Cementing","201809",0.01496,0.014392,0.015528,0.014695,0.010346,0.018663,
"Cementing","201810",0.013962,0.013185,0.014739,0.014147,0.009079,0.018127,
"Cementing","201811",0.01403,0.013281,0.014779,0.01416,0.007641,0.017515,
"Cementing","201812",0.01543,0.014828,0.016033,0.014615,0.011956,0.019192,
"Cementing","201901",0.014576,0.013948,0.015205,0.014969,0.011429,0.018649,
"Cementing","201902",0.014969,0.014322,0.015616,0.01399,0.012172,0.017235,
"Cementing","201903",0.014972,0.014337,0.015608,0.014484,0.01219,0.01857,
"Cementing","201904",0.014814,0.014095,0.015533,0.013945,0.012528,0.018734,
"Cementing","201905",0.014482,0.013891,0.015073,0.013776,0.011487,0.018724,
"Cementing","201906",0.014006,0.013437,0.014575,0.013867,0.011857,0.017265,
"Cementing","201907",0.014739,0.014276,0.015203,0.014198,0.011356,0.017785,
"Cementing","201908",0.014002,0.013338,0.014667,0.013984,0.011649,0.018964,
"Cementing","201909",0.014137,0.013602,0.014673,0.013875,0.012403,0.018145,
"Cementing","201910",0.01505,0.01447,0.01563,0.014136,0.009617,0.018731,
"Cementing","201911",0.014522,0.013843,0.015201,0.014547,0.011952,0.018051,
"Cementing","201912",0.015486,0.014741,0.016231,0.01414,0.011319,0.018379,
"Cementing","202001",0.01542,0.014727,0.016114,0.015065,0.011291,0.017781,
"Cementing","202002",0.014621,0.013988,0.015254,0.014405,0.011857,0.017931,
"Cementing","202003",0.013794,0.013113,0.014474,0.013696,0.011699,0.017771,
"Cementing","202004",0.015008,0.01394,0.016076,0.014349,0.011956,0.018954,
"Cementing","202005",0.013677,0.011388,0.015965,0.01358,0.01035,0.019965,
"Cementing","202006",0.017201,0.015371,0.019031,0.017794,0.013755,0.018262,
"Cementing","202007",0.016585,0.015423,0.017746,0.016869,0.010635,0.019232,
"Cementing","202008",0.014644,0.013696,0.015592,0.013597,0.011729,0.019033,
"Cementing","202009",0.015048,0.014074,0.016022,0.014017,0.013218,0.018865,
"Cementing","202010",0.013801,0.012868,0.014734,0.0137,0.010242,0.019137,
"Cementing","202011",0.015103,0.014327,0.015879,0.013904,0.013323,0.018353,
"Cementing","202012",0.014196,0.013263,0.015128,0.013738,0.008498,0.017113,
"Cementing","202101",0.013106,0.012372,0.013839,0.013498,0.008926,0.017282,
"Cementing","202102",0.014058,0.012919,0.015196,0.013944,0.008937,0.018863,
"Cementing","202103",0.014301,0.013609,0.014993,0.014056,0.012636,0.017756,
"Cementing","202104",0.014484,0.013614,0.015353,0.014403,0.006744,0.017472,
"Cementing","202105",0.014493,0.01342,0.015566,0.013246,0.010447,0.018038,
"Cementing","202106",0.01372,0.012821,0.01462,0.013705,0.00982,0.017775,
"Cementing","202107",0.014105,0.013279,0.014931,0.01328,0.01008,0.017487,
"Cementing","202108",0.013646,0.01275,0.014541,0.013206,0.012434,0.01769,
"Cementing","202109",0.01453,0.013078,0.015982,0.013801,0.010415,0.020526,
"Cementing","202110",0.014257,0.013133,0.015382,0.013858,0.011649,0.017753,
"Cementing","202111",0.012144,0.008691,0.015598,0.011896,0.005803,0.014423,
"Drilling","All",0.131449,0.130677,0.13222,0.139355,0.07088,0.179563,
"Drilling","201101",,,,0.153615,0.153615,0.153615,
"Drilling","201102",,,,0.155655,0.155655,0.155655,
"Drilling","201104",,,,0.15,0.15,0.1611,
"Drilling","201105",,,,0.141,0.10815,0.167757,
"Drilling","201107",,,,0.140235,0.140235,0.15525,
"Drilling","201108",,,,0.159585,0.159585,0.16638,
"Drilling","201109",,,,0.14382,0.108,0.18,
"Drilling","201110",0.209505,0.099948,0.319062,0.2007,0.2007,0.2007,
"Drilling","201111",,,,0.17244,0.141615,0.197625,
"Drilling","201112",0.158035,0.081754,0.234315,0.098415,0.098415,0.15312,
"Drilling","201201",0.086845,0.005551,0.16814,0.087225,0.087225,0.087225,
"Drilling","201202",0.196267,0.1654,0.227134,0.173542,0.173542,0.196222,
"Drilling","201203",0.162243,0.146735,0.17775,0.169575,0.03189,0.171539,
"Drilling","201204",0.160106,0.137757,0.182454,0.167649,0.00303,0.183345,
"Drilling","201205",0.094176,0.065826,0.122527,0.156615,-0.007166,0.18,
"Drilling","201206",0.089288,0.067985,0.11059,0.133395,6.6e-4,0.164887,
"Drilling","201207",0.142514,0.122874,0.162153,0.163325,0.082095,0.163325,
"Drilling","201208",0.098077,0.085542000000000007,0.110612,0.148077,0.046925,0.169189,
"Drilling","201209",0.08081,0.072569,0.089051,0.145845,0.046914,0.1695,
"Drilling","201210",0.094286,0.08626,0.102312,0.155758,0.048280000000000003,0.16806,
"Drilling","201211",0.106445,0.098811,0.11408,0.145943,0.05425,0.16455,
"Drilling","201212",0.121097,0.111792,0.130403,0.15762,0.045795,0.170363,
"Drilling","201301",0.115501,0.107349,0.123653,0.158433,0.065205,0.17476,
"Drilling","201302",0.111119,0.10272,0.119518,0.146182,0.04042,0.173734,
"Drilling","201303",0.1051,0.097062,0.113137,0.156853,0.048071,0.162221,
"Drilling","201304",0.108775,0.100189,0.117362,0.143899,0.04323,0.168956,
"Drilling","201305",0.108077,0.099943,0.116211,0.132795,0.052218,0.172991,
"Drilling","201306",0.110782,0.102678,0.118886,0.126638,0.059053,0.173516,
"Drilling","201307",0.105234,0.097195,0.113272,0.112373,0.056406,0.169305,
"Drilling","201308",0.116128,0.108906,0.12335,0.11240700000000001,0.054398,0.166553,
"Drilling","201309",0.114535,0.106932,0.122138,0.13192,0.058078,0.173272,
"Drilling","201310",0.100695,0.093091,0.1083,0.104687,0.049992,0.178855,
"Drilling","201311",0.126334,0.117983,0.134685,0.129914,0.058741,0.175448,
"Drilling","201312",0.101884,0.092849,0.110918,0.123555,0.054223,0.171,
"Drilling","201401",0.11251,0.103607,0.121414,0.13224,0.071059,0.178268,
"Drilling","201402",0.121352,0.112492,0.130212,0.124185,0.073841,0.188695,
"Drilling","201403",0.106669,0.098944,0.114394,0.117639,0.057868,0.172419,
"Drilling","201404",0.117997,0.109763,0.126231,0.128595,0.063669,0.173739,
"Drilling","201405",0.109883,0.102106,0.11766,0.116565,0.056415,0.17355,
"Drilling","201406",0.112898,0.105349,0.120448,0.132795,0.060508,0.180078,
"Drilling","201407",0.110423,0.103071,0.117775,0.117066,0.063488,0.172137,
"Drilling","201408",0.119497,0.11155,0.127444,0.137649,0.068025,0.173898,
"Drilling","201409",0.113097,0.105201,0.120992,0.122693,0.05868,0.181869,
"Drilling","201410",0.126835,0.119548,0.134122,0.143363,0.068457,0.17598,
"Drilling","201411",0.110917,0.10332,0.118513,0.133125,0.06843,0.169005,
"Drilling","201412",0.118404,0.111493,0.125315,0.138225,0.076214,0.184053,
"Drilling","201501",0.119738,0.11172,0.127757,0.133302,0.05046,0.16205,
"Drilling","201502",0.123594,0.115564,0.131625,0.137985,0.065023,0.167061,
"Drilling","201503",0.13135,0.124233,0.138467,0.149868,0.069882,0.163134,
"Drilling","201504",0.151345,0.14434,0.158351,0.149235,0.074363,0.1681,
"Drilling","201505",0.136775,0.129802,0.143748,0.138165,0.081862,0.192292,
"Drilling","201506",0.140902,0.131747,0.150056,0.140385,0.07596,0.194685,
"Drilling","201507",0.134486,0.126271,0.142701,0.145562,0.067083,0.179295,
"Drilling","201508",0.139718,0.129054,0.150382,0.137873,0.070345,0.227628,
"Drilling","201509",0.128861,0.118453,0.139268,0.14001,0.06054,0.224456,
"Drilling","201510",0.136125,0.12647,0.145779,0.138534,0.09612,0.171067,
"Drilling","201511",0.14412,0.132201,0.156038,0.14367,0.06466,0.23931,
"Drilling","201512",0.134651,0.125544,0.143758,0.136935,0.11472,0.17526,
"Drilling","201601",0.147843,0.13758600000000001,0.158099,0.14145,0.084956,0.20309,
"Drilling","201602",0.151764,0.143633,0.159895,0.140742,0.091752,0.20329,
"Drilling","201603",0.133638,0.122565,0.144711,0.146215,0.040821,0.170634,
"Drilling","201604",0.142299,0.135234,0.149364,0.14073,0.087465,0.158375,
"Drilling","201605",0.144918,0.135977,0.153858,0.141645,0.076972,0.155327,
"Drilling","201606",0.149284,0.141755,0.156813,0.141042,0.103476,0.174646,
"Drilling","201607",0.142774,0.134463,0.151085,0.14247,0.095812,0.165525,
"Drilling","201608",0.125682,0.115057,0.136307,0.139627,0.062832,0.171464,
"Drilling","201609",0.138247,0.130558,0.145936,0.138085,0.07305,0.160586,
"Drilling","201610",0.123267,0.113768,0.132767,0.138738,0.065325,0.159325,
"Drilling","201611",0.134138,0.125409,0.142867,0.141385,0.067786,0.170235,
"Drilling","201612",0.140325,0.129915,0.150735,0.1305,0.078564,0.2103,
"Drilling","201701",0.133429,0.124633,0.142226,0.13714,0.088125,0.19026,
"Drilling","201702",0.157432,0.149721,0.165144,0.1441,0.070215,0.182374,
"Drilling","201703",0.125052,0.116616,0.133488,0.136569,0.07608,0.153683,
"Drilling","201704",0.130033,0.122722,0.137344,0.133695,0.083977,0.164713,
"Drilling","201705",0.127354,0.119097,0.135611,0.140635,0.07098,0.176895,
"Drilling","201706",0.117808,0.108872,0.126743,0.136174,0.075799,0.174993,
"Drilling","201707",0.116549,0.108953,0.124146,0.129834,0.07825,0.175086,
"Drilling","201708",0.147771,0.140993,0.15455,0.137119,0.089055,0.176894,
"Drilling","201709",0.119075,0.111329,0.126821,0.137373,0.069726,0.163952,
"Drilling","201710",0.134229,0.128373,0.140085,0.138544,0.093274,0.15966,
"Drilling","201711",0.146682,0.14092,0.152445,0.144966,0.099525,0.177496,
"Drilling","201712",0.1378,0.130874,0.144727,0.140329,0.06489,0.17337,
"Drilling","201801",0.135704,0.127764,0.143644,0.139835,0.07452,0.180216,
"Drilling","201802",0.148125,0.141799,0.154451,0.139886,0.08505,0.185014,
"Drilling","201803",0.144651,0.138707,0.150595,0.141395,0.082194,0.167928,
"Drilling","201804",0.137477,0.13114,0.143814,0.13788,0.087718,0.168026,
